1	Baber_Azam12251	    10821	    54	    0.3	    2	    2	    5	    10
2	M_Rizwan18175	    7215	    42	    0.5	    3	    12	    25	    0
3	Shoaib_Malik92355	    15008	    47	    0.3	    8	    7	    14	    205
4	Shadab_Khan13108	    2015	    32	    0.5	    4	    10	    55	    125
5	Shahid_Afridi33700	    20452	    36	    0.25	    21	    22	    45	    605
6	Muhmd_Nawaz26125	    2552	    28	    0.6	    25	    29	    54	    152
7	Haris_Rauf20180	    802	    9	    0.14	    100	    96	    58	    236
8	Shaheen_Afridi9203	    1521	    15	    0.2	    98	    97	    91	    300
9	M_Waseem1152	    852	    20	    0.1	    88	    85	    81	    102
10	Shoaib_Akhtar23523	    3201	    11	    0.25	    0	    5	    8	    805

11	zain	    3234	    1233	    12	    2	    21	    1	    21	    2
